State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
Arunachal Pradesh,2026,1,Retail,20987088,11659632921.829725
Arunachal Pradesh,2026,1,Utility,2412789,1227816610.815425
Arunachal Pradesh,2026,2,Retail,24690742,13992245529.04863
Arunachal Pradesh,2026,2,Utility,2447416,1331805822.9586844
Arunachal Pradesh,2026,2,P2P,13494356,32170896129.349693
Assam,2018,1,Retail,917663,189085942.54930878
Assam,2018,1,P2P,367018,1186924047.118826
Assam,2018,1,Utility,11201,15565101.250725273
Assam,2018,2,P2P,602513,2409964946.0327225
Assam,2018,2,Retail,1336377,298439178.55836654
Assam,2018,2,Utility,58011,44304999.4255633
Assam,2018,3,P2P,907160,3879648785.6750345
Assam,2018,3,Retail,1729859,378038610.70343864
Assam,2018,3,Utility,89515,79484980.68073568
Assam,2018,4,P2P,1425542,5988469054.887114
Assam,2018,4,Retail,2764241,605785723.1318527
Assam,2018,4,Utility,106444,99462398.12908512
Assam,2019,1,Retail,2757939,664720871.873915
Assam,2019,1,P2P,2043007,7641141027.737144
Assam,2019,1,Utility,146609,125076438.64801428
Assam,2019,2,P2P,2242546,9716138028.871708
Assam,2019,2,Retail,3193461,796375391.8799789
Assam,2019,2,Utility,149400,156927782.6523491
Assam,2019,3,P2P,2646141,11369016776.517593
Assam,2019,3,Retail,3051698,875767755.1466801
Assam,2019,3,Utility,356634,301514134.39884603
Assam,2019,4,P2P,3109608,13321353917.639404
Assam,2019,4,Retail,2890501,853705761.9914622
Assam,2019,4,Utility,891749,424024614.8586037
Assam,2020,1,P2P,3723043,17119634279.402054
Assam,2020,1,Utility,1545036,561231056.1241894
Assam,2020,1,Retail,3406812,1183784053.8192055
Assam,2020,2,P2P,3693429,17317287526.421005
Assam,2020,2,Retail,4571702,1777631474.8497684
Assam,2020,2,Utility,2761829,813452406.329763
Assam,2020,3,P2P,4865545,23137596180.477337
Assam,2020,3,Retail,4773287,2312224073.557622
Assam,2020,3,Utility,2322970,918671401.4831023
Assam,2020,4,P2P,6673162,31716827555.193657
Assam,2020,4,Retail,5154466,3161617570.9682646
Assam,2020,4,Utility,2956856,1135365086.183422
Assam,2021,1,Retail,3579513,3783287496.6582174
Assam,2021,1,P2P,8037741,38825399621.983604
Assam,2021,1,Utility,5700478,1724631842.6515703
Assam,2021,2,Retail,4119253,4765705607.930681
Assam,2021,2,Utility,8502474,2416445990.8377576
Assam,2021,2,P2P,9999466,44671708956.20358
Assam,2021,3,P2P,12915370,53499764245.62204
Assam,2021,3,Retail,6486596,7278565079.784382
Assam,2021,3,Utility,9291264,3227412132.5014114
Assam,2021,4,P2P,15760519,64091870334.879654
Assam,2021,4,Retail,10034417,10376969400.275354
Assam,2021,4,Utility,9233797,3352084986.414167
Assam,2022,1,P2P,22622208,90133302659.5852
Assam,2022,1,Utility,10408631,4076971297.2095413
Assam,2022,1,Retail,16994856,16163444485.234835
Assam,2022,2,P2P,28055767,102000243112.71205
Assam,2022,2,Retail,24578300,20504661830.51574
Assam,2022,2,Utility,12166210,4589818092.247853
Assam,2022,3,P2P,35183163,118029810285.06055
Assam,2022,3,Retail,34972826,26820923202.821663
Assam,2022,3,Utility,14185524,5822444506.078704
Assam,2022,4,P2P,40692233,134147548021.9758
Assam,2022,4,Retail,41152378,31957503214.296555
Assam,2022,4,Utility,15240015,6281243253.942713
Assam,2023,1,Retail,49721049,38643954776.468925
Assam,2023,1,P2P,48450507,166680940763.5238
Assam,2023,1,Utility,17044791,7100599447.140171
Assam,2023,2,Retail,62198937,44075550342.92614
Assam,2023,2,Utility,19532756,8252664463.368139
Assam,2023,2,P2P,57867509,182933328397.19922
